"등록현황별(1)","등록현황별(2)",행정구역(시군)별(1),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형별","지체",천안시,11483,11682,11802,11925,11997,12083,12025,12027,12059,12052,12091
"장애유형별","지체",공주시,3860,3932,3941,3993,4048,4120,4179,4258,4326,4405,4465
"장애유형별","지체",보령시,4187,4264,4295,4368,4403,4432,4498,4532,4619,4667,4714
"장애유형별","지체",아산시,7140,7211,7164,7105,7138,7202,7282,7182,7191,7219,7163
"장애유형별","지체",서산시,4863,4922,4921,4910,4928,4966,4982,5009,5063,5059,5056
"장애유형별","지체",논산시,4381,4537,4600,4663,4735,4841,4934,5036,5105,5175,5281
"장애유형별","지체",계룡시,798,760,762,737,736,741,766,761,752,741,759
"장애유형별","지체",당진시,5243,5301,5292,5305,5324,5380,5441,5540,5534,5551,5540
"장애유형별","지체",금산군,2216,2264,2285,2327,2351,2382,2411,2413,2454,2466,2493
"장애유형별","지체",부여군,3209,3353,3406,3475,3515,3567,3634,3723,3791,3833,3926
"장애유형별","지체",서천군,2686,2741,2784,2815,2877,2952,3043,3106,3173,3216,3257
"장애유형별","지체",청양군,1461,1499,1540,1548,1558,1569,1595,1609,1622,1637,1633
"장애유형별","지체",홍성군,3303,3378,3403,3452,3444,3494,3565,3589,3580,3559,3581
"장애유형별","지체",예산군,3243,3285,3292,3349,3441,3487,3527,3559,3610,3625,3663
"장애유형별","지체",태안군,2688,2723,2723,2755,2727,2761,2786,2801,2782,2816,2843
"장애유형별","뇌병변",천안시,2429,2440,2527,2532,2551,2500,2447,2360,2331,2321,2307
"장애유형별","뇌병변",공주시,663,705,731,742,757,766,756,757,740,760,781
"장애유형별","뇌병변",보령시,565,580,603,600,611,596,603,593,596,617,608
"장애유형별","뇌병변",아산시,1313,1350,1350,1313,1286,1258,1268,1259,1265,1284,1258
"장애유형별","뇌병변",서산시,725,741,752,758,768,785,790,803,826,825,814
"장애유형별","뇌병변",논산시,874,918,917,948,981,979,984,966,968,987,975
"장애유형별","뇌병변",계룡시,175,161,176,171,168,166,177,181,176,173,161
"장애유형별","뇌병변",당진시,744,745,746,746,781,794,787,778,783,777,786
"장애유형별","뇌병변",금산군,360,369,372,370,372,389,387,392,408,402,390
"장애유형별","뇌병변",부여군,491,536,530,543,546,555,553,571,554,553,552
"장애유형별","뇌병변",서천군,422,448,456,455,466,471,491,484,491,486,492
"장애유형별","뇌병변",청양군,227,236,237,245,238,237,241,247,250,242,239
"장애유형별","뇌병변",홍성군,506,523,539,546,550,538,540,519,502,515,512
"장애유형별","뇌병변",예산군,526,550,568,581,595,591,589,585,600,600,605
"장애유형별","뇌병변",태안군,330,341,357,366,365,368,352,351,338,355,354
"장애유형별","시각",천안시,2756,2757,2781,2768,2714,2675,2615,2590,2556,2529,2546
"장애유형별","시각",공주시,693,695,697,700,689,714,722,734,743,758,764
"장애유형별","시각",보령시,701,724,731,724,728,736,711,732,743,748,755
"장애유형별","시각",아산시,1641,1634,1599,1573,1552,1532,1537,1492,1461,1462,1442
"장애유형별","시각",서산시,924,924,913,903,927,914,905,887,895,873,863
"장애유형별","시각",논산시,784,803,827,841,858,841,848,864,887,899,895
"장애유형별","시각",계룡시,161,147,145,148,148,144,147,149,150,149,156
"장애유형별","시각",당진시,976,996,996,981,997,1006,1035,1030,1019,1014,1000
"장애유형별","시각",금산군,363,382,382,376,382,376,378,374,380,394,383
"장애유형별","시각",부여군,522,541,534,542,543,545,550,562,595,601,599
"장애유형별","시각",서천군,445,455,476,476,484,497,526,532,541,563,565
"장애유형별","시각",청양군,253,262,273,268,270,268,271,293,291,291,294
"장애유형별","시각",홍성군,647,642,630,628,631,630,660,636,621,629,627
"장애유형별","시각",예산군,705,724,720,705,709,723,723,734,761,774,780
"장애유형별","시각",태안군,463,460,459,448,452,451,448,449,454,444,445
"장애유형별","청각",천안시,4201,4173,4104,3986,3799,3463,3125,2802,2525,2526,2560
"장애유형별","청각",공주시,1287,1324,1316,1326,1309,1187,1054,973,922,926,927
"장애유형별","청각",보령시,1377,1387,1378,1351,1318,1166,1033,981,909,896,888
"장애유형별","청각",아산시,2520,2514,2442,2362,2277,2132,1803,1605,1474,1495,1496
"장애유형별","청각",서산시,1924,1874,1861,1799,1787,1595,1147,997,860,851,853
"장애유형별","청각",논산시,1718,1780,1793,1812,1869,1820,1671,1506,1296,1267,1268
"장애유형별","청각",계룡시,242,245,246,238,240,223,196,174,153,148,140
"장애유형별","청각",당진시,1788,1774,1728,1700,1681,1505,1058,892,822,804,799
"장애유형별","청각",금산군,795,840,863,879,861,817,694,601,537,536,541
"장애유형별","청각",부여군,1256,1283,1267,1265,1253,1185,1083,975,917,939,950
"장애유형별","청각",서천군,885,914,936,920,889,857,791,716,641,656,676
"장애유형별","청각",청양군,702,740,763,771,783,648,502,455,388,381,367
"장애유형별","청각",홍성군,1466,1558,1587,1594,1593,1546,1131,978,843,828,809
"장애유형별","청각",예산군,1750,1785,1743,1681,1549,1336,960,857,761,775,767
"장애유형별","청각",태안군,942,937,911,881,837,737,594,547,489,506,486
"장애유형별","언어",천안시,260,281,260,229,217,211,204,191,189,181,168
"장애유형별","언어",공주시,62,68,61,60,61,60,66,69,69,72,69
"장애유형별","언어",보령시,65,68,65,64,68,67,64,60,60,61,61
"장애유형별","언어",아산시,155,169,174,171,146,146,142,135,124,111,107
"장애유형별","언어",서산시,79,88,87,82,72,72,71,67,68,70,68
"장애유형별","언어",논산시,76,78,73,73,74,81,87,83,83,82,81
"장애유형별","언어",계룡시,14,17,19,19,19,19,14,11,14,13,13
"장애유형별","언어",당진시,98,100,87,94,95,93,90,86,75,79,76
"장애유형별","언어",금산군,27,32,36,30,35,38,42,45,42,41,38
"장애유형별","언어",부여군,39,41,39,44,45,42,41,41,43,40,38
"장애유형별","언어",서천군,32,32,31,34,41,42,42,44,45,44,43
"장애유형별","언어",청양군,22,26,23,25,25,28,31,28,28,28,26
"장애유형별","언어",홍성군,45,41,45,34,34,38,37,38,35,37,34
"장애유형별","언어",예산군,45,50,52,48,46,46,48,40,39,40,41
"장애유형별","언어",태안군,29,29,33,33,27,28,35,37,38,34,34
"장애유형별","지적",천안시,2759,2677,2597,2511,2430,2331,2228,2134,2040,1968,1892
"장애유형별","지적",공주시,1063,1066,1069,1088,1084,1095,1085,1073,1083,1081,1036
"장애유형별","지적",보령시,937,937,928,922,905,890,883,872,853,829,838
"장애유형별","지적",아산시,1700,1637,1588,1542,1474,1410,1346,1291,1242,1175,1144
"장애유형별","지적",서산시,939,916,886,863,839,813,783,770,765,732,705
"장애유형별","지적",논산시,1042,1045,1055,1052,1045,1025,992,965,945,923,905
"장애유형별","지적",계룡시,156,151,147,135,138,119,116,102,102,98,100
"장애유형별","지적",당진시,890,850,830,819,812,782,760,724,695,674,649
"장애유형별","지적",금산군,451,441,443,429,426,411,405,399,390,375,374
"장애유형별","지적",부여군,616,633,642,634,624,614,615,597,590,591,577
"장애유형별","지적",서천군,513,512,510,500,495,498,496,492,486,480,480
"장애유형별","지적",청양군,259,261,258,256,254,255,248,237,225,216,223
"장애유형별","지적",홍성군,602,568,568,546,524,514,497,488,465,455,441
"장애유형별","지적",예산군,587,564,557,555,556,544,538,532,513,497,477
"장애유형별","지적",태안군,394,404,410,395,382,360,357,351,345,342,333
"장애유형별","자폐성",천안시,506,438,395,358,347,304,278,236,212,185,156
"장애유형별","자폐성",공주시,77,75,72,67,66,64,63,62,59,57,55
"장애유형별","자폐성",보령시,65,63,58,53,41,35,34,28,23,20,16
"장애유형별","자폐성",아산시,297,232,182,148,136,132,115,104,85,75,64
"장애유형별","자폐성",서산시,143,116,95,84,80,72,62,55,52,49,47
"장애유형별","자폐성",논산시,61,55,47,47,42,41,38,36,32,29,29
"장애유형별","자폐성",계룡시,33,30,29,22,23,24,21,19,17,19,17
"장애유형별","자폐성",당진시,152,127,108,93,77,70,59,52,45,36,31
"장애유형별","자폐성",금산군,37,32,33,30,29,24,23,20,16,15,15
"장애유형별","자폐성",부여군,42,40,36,35,37,34,32,26,24,24,22
"장애유형별","자폐성",서천군,26,23,21,17,15,15,13,11,11,11,10
"장애유형별","자폐성",청양군,16,15,11,11,11,11,11,11,8,7,6
"장애유형별","자폐성",홍성군,65,62,54,50,43,40,32,27,26,23,19
"장애유형별","자폐성",예산군,32,27,18,15,14,12,11,11,9,9,8
"장애유형별","자폐성",태안군,34,24,24,24,20,20,19,15,12,9,9
"장애유형별","정신",천안시,1130,1144,1137,1130,1117,1076,1058,1026,981,943,921
"장애유형별","정신",공주시,423,426,428,434,429,427,423,434,423,417,413
"장애유형별","정신",보령시,287,288,281,281,271,283,274,275,282,276,275
"장애유형별","정신",아산시,626,625,623,616,622,631,619,618,610,614,613
"장애유형별","정신",서산시,311,309,302,306,306,304,295,281,273,264,262
"장애유형별","정신",논산시,738,767,793,798,805,813,815,816,846,861,868
"장애유형별","정신",계룡시,65,60,55,50,51,50,50,49,48,45,42
"장애유형별","정신",당진시,247,243,244,234,234,229,221,233,225,220,216
"장애유형별","정신",금산군,138,137,136,138,140,146,147,140,136,131,127
"장애유형별","정신",부여군,320,329,321,320,325,317,314,311,309,306,296
"장애유형별","정신",서천군,185,185,188,191,189,190,189,190,191,196,183
"장애유형별","정신",청양군,88,88,87,87,84,86,91,94,89,87,86
"장애유형별","정신",홍성군,361,364,364,360,372,356,346,346,334,320,319
"장애유형별","정신",예산군,245,243,254,257,259,261,257,255,255,261,257
"장애유형별","정신",태안군,159,157,155,160,159,156,146,146,148,150,151
"장애유형별","신장",천안시,1132,1100,1067,1042,998,929,869,837,776,736,694
"장애유형별","신장",공주시,282,270,259,242,222,207,201,186,168,170,169
"장애유형별","신장",보령시,235,234,227,220,206,192,181,171,162,160,162
"장애유형별","신장",아산시,654,629,586,562,514,478,452,426,405,361,336
"장애유형별","신장",서산시,313,302,288,257,246,231,216,208,202,198,181
"장애유형별","신장",논산시,250,243,230,216,201,201,191,188,177,169,165
"장애유형별","신장",계룡시,68,59,64,66,56,52,55,49,43,43,33
"장애유형별","신장",당진시,313,286,263,245,227,218,197,181,172,158,137
"장애유형별","신장",금산군,130,124,122,118,121,114,116,110,99,98,94
"장애유형별","신장",부여군,179,169,155,151,138,137,127,124,126,128,109
"장애유형별","신장",서천군,142,131,126,120,108,107,98,87,81,78,72
"장애유형별","신장",청양군,71,73,66,58,57,59,62,58,50,50,43
"장애유형별","신장",홍성군,183,196,199,193,187,161,135,135,123,127,122
"장애유형별","신장",예산군,187,186,188,177,166,162,148,139,128,122,120
"장애유형별","신장",태안군,135,131,122,113,103,102,102,89,85,72,59
"장애유형별","심장",천안시,58,60,64,63,66,66,64,60,58,59,72
"장애유형별","심장",공주시,7,6,6,7,7,7,10,10,11,11,12
"장애유형별","심장",보령시,13,11,12,19,20,19,20,18,16,18,17
"장애유형별","심장",아산시,33,31,29,25,25,24,21,25,27,29,31
"장애유형별","심장",서산시,13,15,18,18,16,15,16,19,19,21,26
"장애유형별","심장",논산시,9,8,9,9,8,7,7,9,10,11,10
"장애유형별","심장",계룡시,2,2,1,2,2,3,4,3,4,3,6
"장애유형별","심장",당진시,11,11,10,7,8,8,9,9,9,8,7
"장애유형별","심장",금산군,5,5,5,6,7,7,8,8,9,12,11
"장애유형별","심장",부여군,8,8,9,9,10,7,7,7,8,8,9
"장애유형별","심장",서천군,9,11,10,9,10,10,9,7,7,9,11
"장애유형별","심장",청양군,1,1,1,1,2,1,2,3,4,3,3
"장애유형별","심장",홍성군,4,3,3,4,4,7,10,10,9,9,9
"장애유형별","심장",예산군,15,15,15,15,17,18,17,21,19,20,22
"장애유형별","심장",태안군,9,11,10,12,12,11,13,14,13,14,17
"장애유형별","호흡기",천안시,112,110,109,118,118,117,113,123,125,128,140
"장애유형별","호흡기",공주시,26,29,29,35,35,34,34,33,44,41,45
"장애유형별","호흡기",보령시,51,54,59,62,68,78,79,76,87,93,107
"장애유형별","호흡기",아산시,57,65,71,70,71,67,77,79,92,85,98
"장애유형별","호흡기",서산시,32,34,34,32,33,31,27,26,29,29,38
"장애유형별","호흡기",논산시,28,35,35,38,39,37,35,40,41,50,59
"장애유형별","호흡기",계룡시,6,7,6,5,6,3,3,6,7,7,9
"장애유형별","호흡기",당진시,41,45,44,41,44,45,48,50,54,57,57
"장애유형별","호흡기",금산군,12,10,9,11,13,15,14,13,12,15,13
"장애유형별","호흡기",부여군,22,25,24,22,23,26,25,28,33,36,36
"장애유형별","호흡기",서천군,18,17,15,16,13,16,18,15,13,17,19
"장애유형별","호흡기",청양군,15,15,17,19,23,20,17,18,20,26,27
"장애유형별","호흡기",홍성군,34,35,32,32,31,30,30,34,34,38,39
"장애유형별","호흡기",예산군,30,37,39,40,34,38,42,41,46,48,48
"장애유형별","호흡기",태안군,21,25,24,21,20,20,22,21,16,19,22
"장애유형별","간",천안시,156,157,147,136,130,131,125,110,101,103,97
"장애유형별","간",공주시,38,37,35,31,34,30,30,29,26,25,21
"장애유형별","간",보령시,41,40,35,34,33,25,22,21,19,18,19
"장애유형별","간",아산시,67,61,62,62,58,57,53,50,48,42,39
"장애유형별","간",서산시,51,54,49,47,44,41,40,37,38,35,32
"장애유형별","간",논산시,31,29,30,28,26,21,18,17,20,22,22
"장애유형별","간",계룡시,6,5,5,3,4,4,4,4,3,3,2
"장애유형별","간",당진시,46,46,46,39,37,36,31,25,23,23,23
"장애유형별","간",금산군,25,23,20,18,17,15,12,12,11,10,13
"장애유형별","간",부여군,32,31,26,27,24,20,19,21,20,20,20
"장애유형별","간",서천군,16,16,15,13,13,12,13,12,9,8,8
"장애유형별","간",청양군,10,9,9,9,9,10,9,9,8,7,6
"장애유형별","간",홍성군,32,29,27,25,24,23,22,22,21,22,21
"장애유형별","간",예산군,21,20,25,28,26,28,24,24,24,25,26
"장애유형별","간",태안군,23,21,20,19,17,14,16,17,16,14,13
"장애유형별","안면",천안시,34,33,31,31,29,28,29,28,27,25,25
"장애유형별","안면",공주시,6,7,8,8,8,6,6,5,5,7,7
"장애유형별","안면",보령시,8,8,7,7,7,7,6,6,7,7,3
"장애유형별","안면",아산시,18,19,17,18,19,18,16,14,14,16,15
"장애유형별","안면",서산시,11,10,12,11,10,11,11,10,8,9,9
"장애유형별","안면",논산시,8,8,9,8,8,8,10,9,10,11,11
"장애유형별","안면",계룡시,1,2,2,3,2,2,2,2,2,2,3
"장애유형별","안면",당진시,10,12,12,11,10,9,10,9,9,7,7
"장애유형별","안면",금산군,5,5,8,8,7,7,6,7,8,6,6
"장애유형별","안면",부여군,1,2,2,3,3,3,3,3,3,3,3
"장애유형별","안면",서천군,3,3,4,4,3,3,4,4,4,3,3
"장애유형별","안면",청양군,1,1,1,1,1,1,1,1,1,1,1
"장애유형별","안면",홍성군,7,8,7,7,9,10,11,10,10,9,10
"장애유형별","안면",예산군,7,6,6,5,5,4,4,4,5,5,5
"장애유형별","안면",태안군,5,6,5,5,5,6,7,7,8,8,8
"장애유형별","장루, 요루",천안시,162,139,141,136,129,138,134,134,128,128,123
"장애유형별","장루, 요루",공주시,50,50,47,54,60,62,61,54,44,44,44
"장애유형별","장루, 요루",보령시,59,57,55,52,54,49,52,54,54,54,45
"장애유형별","장루, 요루",아산시,112,110,97,94,99,87,86,84,84,80,77
"장애유형별","장루, 요루",서산시,74,76,71,60,61,65,60,62,58,55,52
"장애유형별","장루, 요루",논산시,53,53,57,58,54,55,49,51,51,52,56
"장애유형별","장루, 요루",계룡시,17,14,14,14,13,15,13,14,11,8,10
"장애유형별","장루, 요루",당진시,70,75,67,65,57,54,53,51,53,52,55
"장애유형별","장루, 요루",금산군,34,33,34,37,39,44,40,44,44,41,38
"장애유형별","장루, 요루",부여군,43,41,39,40,42,43,45,45,46,48,44
"장애유형별","장루, 요루",서천군,39,37,34,34,33,35,35,36,39,37,34
"장애유형별","장루, 요루",청양군,17,17,16,20,19,19,20,22,21,18,16
"장애유형별","장루, 요루",홍성군,35,35,35,33,33,33,30,27,30,27,30
"장애유형별","장루, 요루",예산군,54,56,49,46,46,48,46,49,52,58,53
"장애유형별","장루, 요루",태안군,30,30,25,26,28,25,26,23,22,25,22
"장애유형별","뇌전증",천안시,52,56,54,59,56,55,54,55,58,57,58
"장애유형별","뇌전증",공주시,22,21,20,19,16,16,16,19,22,21,24
"장애유형별","뇌전증",보령시,32,30,30,28,25,26,26,29,27,26,29
"장애유형별","뇌전증",아산시,35,32,34,38,38,35,30,34,33,34,32
"장애유형별","뇌전증",서산시,24,23,25,25,21,22,19,14,18,22,23
"장애유형별","뇌전증",논산시,32,33,32,32,30,28,30,28,29,31,33
"장애유형별","뇌전증",계룡시,3,4,3,2,2,2,2,3,3,6,8
"장애유형별","뇌전증",당진시,8,10,10,9,9,10,9,11,12,15,14
"장애유형별","뇌전증",금산군,8,8,13,13,12,11,9,8,8,9,7
"장애유형별","뇌전증",부여군,13,12,13,13,14,17,15,16,15,16,21
"장애유형별","뇌전증",서천군,11,11,11,11,12,11,12,12,12,11,10
"장애유형별","뇌전증",청양군,10,10,10,11,12,12,12,13,12,11,10
"장애유형별","뇌전증",홍성군,7,6,6,7,7,7,10,12,13,11,13
"장애유형별","뇌전증",예산군,11,13,11,17,15,15,14,13,15,15,15
"장애유형별","뇌전증",태안군,10,8,7,8,8,10,10,9,11,11,11
"장애유형별","기타",천안시,,,,-,-,-,-,-,-,-,-
"장애유형별","기타",공주시,,,,-,-,-,-,-,-,-,-
"장애유형별","기타",보령시,,,,-,-,-,-,-,-,-,-
"장애유형별","기타",아산시,,,,-,-,-,-,-,-,-,-
"장애유형별","기타",서산시,,,,-,-,-,-,-,-,-,-
"장애유형별","기타",논산시,,,,-,-,-,-,-,-,-,-
"장애유형별","기타",계룡시,,,,-,-,-,-,-,-,-,-
"장애유형별","기타",당진시,,,,-,-,-,-,-,-,-,-
"장애유형별","기타",금산군,,,,-,-,-,-,-,-,-,-
"장애유형별","기타",부여군,,,,-,-,-,-,-,-,-,-
"장애유형별","기타",서천군,,,,-,-,-,-,-,-,-,-
"장애유형별","기타",청양군,,,,-,-,-,-,-,-,-,-
"장애유형별","기타",홍성군,,,,-,-,-,-,-,-,-,-
"장애유형별","기타",예산군,,,,-,-,-,-,-,-,-,-
"장애유형별","기타",태안군,,,,-,-,-,-,-,-,-,-
