"현황별(1)","현황별(2)",시군별(1),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형별","지체",춘천시,6994,7175,7243,7312,7412,7515,7557,7664,7720,7813,7898
"장애유형별","지체",원주시,8820,8931,8963,8938,8971,9004,9036,9000,9025,9046,9167
"장애유형별","지체",강릉시,6304,6424,6493,6505,6582,6640,6741,6780,6866,6970,7026
"장애유형별","지체",동해시,3460,3522,3548,3558,3605,3655,3711,3773,3841,3911,3966
"장애유형별","지체",태백시,2143,2208,2252,2330,2394,2412,2485,2528,2580,2644,2667
"장애유형별","지체",속초시,2265,2345,2371,2411,2426,2455,2504,2491,2531,2575,2615
"장애유형별","지체",삼척시,2758,2831,2865,2912,2946,2983,3032,3067,3124,3208,3248
"장애유형별","지체",홍천군,2448,2477,2485,2497,2506,2507,2513,2512,2559,2520,2564
"장애유형별","지체",횡성군,1849,1825,1835,1857,1857,1851,1865,1845,1821,1836,1836
"장애유형별","지체",영월군,1844,1887,1885,1943,1963,1984,1990,2015,2018,2061,2052
"장애유형별","지체",평창군,1605,1637,1637,1633,1634,1638,1658,1680,1695,1713,1721
"장애유형별","지체",정선군,1725,1763,1784,1814,1836,1873,1897,1925,1962,2003,2036
"장애유형별","지체",철원군,1387,1410,1446,1484,1538,1566,1574,1599,1632,1641,1668
"장애유형별","지체",화천군,834,859,871,883,888,893,902,908,923,923,919
"장애유형별","지체",양구군,717,741,736,756,784,800,813,809,835,853,876
"장애유형별","지체",인제군,902,931,929,935,945,962,954,951,979,979,997
"장애유형별","지체",고성군,1044,1072,1085,1092,1134,1152,1168,1187,1194,1206,1225
"장애유형별","지체",양양군,1087,1098,1107,1128,1115,1133,1150,1168,1186,1198,1225
"장애유형별","뇌병변",춘천시,1604,1624,1645,1655,1697,1693,1669,1643,1666,1719,1719
"장애유형별","뇌병변",원주시,1894,1895,1921,1897,1893,1855,1829,1803,1786,1817,1847
"장애유형별","뇌병변",강릉시,1174,1198,1202,1220,1220,1224,1236,1229,1227,1233,1220
"장애유형별","뇌병변",동해시,536,567,557,561,567,577,580,576,570,564,566
"장애유형별","뇌병변",태백시,265,287,292,305,311,324,328,332,324,326,328
"장애유형별","뇌병변",속초시,428,451,441,463,461,454,465,455,466,481,474
"장애유형별","뇌병변",삼척시,362,386,385,399,407,414,407,427,405,413,413
"장애유형별","뇌병변",홍천군,455,460,456,465,474,475,492,513,504,518,519
"장애유형별","뇌병변",횡성군,291,296,302,308,314,318,316,325,326,330,340
"장애유형별","뇌병변",영월군,260,267,278,282,290,305,316,310,322,331,341
"장애유형별","뇌병변",평창군,245,264,273,284,279,283,285,283,270,293,302
"장애유형별","뇌병변",정선군,237,250,256,259,260,261,262,264,258,248,248
"장애유형별","뇌병변",철원군,243,252,266,269,275,276,288,298,315,311,312
"장애유형별","뇌병변",화천군,137,143,150,158,159,158,165,173,161,156,160
"장애유형별","뇌병변",양구군,117,126,123,126,128,124,129,135,141,148,148
"장애유형별","뇌병변",인제군,147,159,162,165,165,170,176,185,182,173,175
"장애유형별","뇌병변",고성군,168,182,182,185,200,208,206,208,213,208,200
"장애유형별","뇌병변",양양군,157,146,149,154,155,158,167,176,190,191,185
"장애유형별","시각",춘천시,1509,1538,1539,1522,1535,1541,1565,1580,1560,1549,1562
"장애유형별","시각",원주시,1803,1838,1833,1811,1805,1760,1742,1717,1693,1647,1667
"장애유형별","시각",강릉시,1279,1295,1293,1293,1281,1268,1268,1265,1254,1259,1273
"장애유형별","시각",동해시,549,559,563,573,564,579,586,600,610,617,629
"장애유형별","시각",태백시,294,304,304,316,321,323,329,335,345,356,366
"장애유형별","시각",속초시,503,524,529,515,507,516,521,507,494,500,512
"장애유형별","시각",삼척시,481,496,498,509,512,506,528,526,534,542,548
"장애유형별","시각",홍천군,475,484,490,486,470,469,473,460,471,468,463
"장애유형별","시각",횡성군,341,342,344,347,344,341,352,355,350,352,356
"장애유형별","시각",영월군,273,282,281,285,292,291,289,277,279,295,286
"장애유형별","시각",평창군,284,287,292,300,309,315,301,305,302,304,299
"장애유형별","시각",정선군,252,257,262,263,255,258,269,277,275,273,271
"장애유형별","시각",철원군,255,261,262,261,259,259,251,259,261,269,271
"장애유형별","시각",화천군,159,158,150,162,158,163,161,165,158,171,158
"장애유형별","시각",양구군,160,165,159,163,164,172,170,164,169,164,164
"장애유형별","시각",인제군,193,204,203,197,206,204,199,204,197,212,201
"장애유형별","시각",고성군,206,210,215,223,232,228,235,238,239,244,250
"장애유형별","시각",양양군,194,192,202,208,214,222,220,216,217,211,221
"장애유형별","청각",춘천시,1912,1941,1902,1865,1834,1811,1688,1581,1516,1562,1604
"장애유형별","청각",원주시,3010,2989,2938,2835,2696,2361,2121,2007,1893,1905,1952
"장애유형별","청각",강릉시,2016,2033,1994,1980,1926,1841,1675,1462,1363,1340,1336
"장애유형별","청각",동해시,1037,1069,1072,1065,1070,1026,955,852,774,774,793
"장애유형별","청각",태백시,770,794,776,732,701,677,609,568,531,543,566
"장애유형별","청각",속초시,768,778,762,740,721,685,647,592,549,553,565
"장애유형별","청각",삼척시,859,852,831,836,828,794,737,660,625,664,672
"장애유형별","청각",홍천군,667,671,679,677,677,645,631,597,563,560,576
"장애유형별","청각",횡성군,577,577,571,563,535,495,456,441,414,430,440
"장애유형별","청각",영월군,434,426,438,426,424,416,378,345,307,303,318
"장애유형별","청각",평창군,492,500,503,503,501,480,434,413,382,380,374
"장애유형별","청각",정선군,497,517,504,503,479,452,420,376,349,347,361
"장애유형별","청각",철원군,444,445,439,431,423,384,366,334,287,295,299
"장애유형별","청각",화천군,244,236,245,242,234,221,215,192,175,178,177
"장애유형별","청각",양구군,191,203,208,220,217,211,202,189,184,188,193
"장애유형별","청각",인제군,280,278,281,289,280,264,235,221,212,208,210
"장애유형별","청각",고성군,423,412,394,388,374,363,351,309,286,300,289
"장애유형별","청각",양양군,397,398,399,380,378,355,331,308,290,300,301
"장애유형별","언어",춘천시,138,136,130,126,122,122,132,124,123,118,120
"장애유형별","언어",원주시,150,148,147,144,138,126,124,125,121,110,117
"장애유형별","언어",강릉시,107,111,113,110,114,109,99,92,88,87,91
"장애유형별","언어",동해시,49,49,47,50,48,47,53,50,49,50,49
"장애유형별","언어",태백시,30,28,26,27,27,25,25,25,25,24,21
"장애유형별","언어",속초시,35,37,41,39,39,38,42,36,36,34,32
"장애유형별","언어",삼척시,49,50,52,48,46,50,47,51,51,54,52
"장애유형별","언어",홍천군,46,49,49,48,48,52,51,47,44,45,46
"장애유형별","언어",횡성군,23,19,19,15,15,17,20,25,25,26,23
"장애유형별","언어",영월군,27,27,21,19,18,17,16,14,17,18,18
"장애유형별","언어",평창군,19,23,19,21,20,19,20,20,21,19,20
"장애유형별","언어",정선군,25,26,24,24,25,26,25,27,25,25,20
"장애유형별","언어",철원군,11,12,17,16,16,16,15,14,16,16,17
"장애유형별","언어",화천군,11,14,13,13,11,12,12,12,11,13,12
"장애유형별","언어",양구군,17,17,20,19,17,17,16,13,13,12,13
"장애유형별","언어",인제군,14,13,13,13,11,11,12,12,13,13,17
"장애유형별","언어",고성군,20,21,23,22,19,19,20,21,21,22,20
"장애유형별","언어",양양군,16,15,15,16,14,14,17,17,16,16,18
"장애유형별","지적",춘천시,1471,1445,1428,1393,1366,1335,1303,1271,1220,1183,1173
"장애유형별","지적",원주시,1829,1776,1734,1687,1649,1552,1522,1480,1419,1388,1337
"장애유형별","지적",강릉시,1074,1074,1053,1036,1014,999,989,958,937,923,913
"장애유형별","지적",동해시,429,419,424,414,404,395,387,379,371,355,345
"장애유형별","지적",태백시,207,212,204,204,214,212,210,215,217,203,193
"장애유형별","지적",속초시,357,352,351,345,342,340,337,326,324,313,301
"장애유형별","지적",삼척시,359,360,358,350,353,350,348,339,325,324,325
"장애유형별","지적",홍천군,485,490,499,505,501,504,489,478,472,461,455
"장애유형별","지적",횡성군,347,343,338,336,332,306,295,297,288,283,264
"장애유형별","지적",영월군,301,308,312,301,299,299,294,290,285,276,263
"장애유형별","지적",평창군,249,254,248,251,252,258,241,231,220,218,210
"장애유형별","지적",정선군,274,276,284,283,290,282,278,274,275,261,257
"장애유형별","지적",철원군,385,401,406,411,448,452,455,466,468,490,511
"장애유형별","지적",화천군,189,190,190,207,202,203,202,188,176,170,163
"장애유형별","지적",양구군,96,96,99,100,107,106,104,96,95,97,95
"장애유형별","지적",인제군,250,246,249,241,243,238,232,229,231,228,222
"장애유형별","지적",고성군,160,163,158,156,160,156,153,151,146,140,138
"장애유형별","지적",양양군,213,217,215,215,221,226,223,228,229,222,217
"장애유형별","자폐성",춘천시,236,212,189,168,150,132,120,112,106,94,86
"장애유형별","자폐성",원주시,311,279,236,214,203,178,172,158,142,129,120
"장애유형별","자폐성",강릉시,136,121,112,110,104,98,98,95,85,75,75
"장애유형별","자폐성",동해시,69,65,60,51,43,42,42,43,38,34,32
"장애유형별","자폐성",태백시,16,14,14,12,12,11,10,9,9,10,7
"장애유형별","자폐성",속초시,68,62,52,45,45,44,40,44,43,40,37
"장애유형별","자폐성",삼척시,25,23,21,17,20,18,18,17,18,16,14
"장애유형별","자폐성",홍천군,36,33,28,28,29,25,20,17,15,16,17
"장애유형별","자폐성",횡성군,21,17,13,12,14,12,11,11,11,10,9
"장애유형별","자폐성",영월군,17,12,11,11,12,11,10,10,11,11,10
"장애유형별","자폐성",평창군,15,16,15,15,15,13,13,14,14,15,15
"장애유형별","자폐성",정선군,16,17,12,13,9,9,7,7,5,5,5
"장애유형별","자폐성",철원군,22,20,17,15,12,9,10,10,7,7,9
"장애유형별","자폐성",화천군,8,5,7,6,7,5,6,7,5,7,6
"장애유형별","자폐성",양구군,17,16,14,12,13,11,8,7,4,7,5
"장애유형별","자폐성",인제군,14,11,11,11,11,12,10,7,8,4,5
"장애유형별","자폐성",고성군,14,12,9,10,11,11,13,9,7,7,8
"장애유형별","자폐성",양양군,27,26,26,26,25,23,21,18,17,18,19
"장애유형별","정신",춘천시,658,672,663,650,638,610,604,584,583,560,576
"장애유형별","정신",원주시,635,617,598,569,559,533,528,515,511,496,488
"장애유형별","정신",강릉시,488,494,501,494,499,504,502,509,515,519,531
"장애유형별","정신",동해시,199,201,208,207,206,204,207,199,196,198,196
"장애유형별","정신",태백시,96,99,93,91,91,91,91,88,91,91,97
"장애유형별","정신",속초시,154,152,152,140,137,137,138,139,136,141,143
"장애유형별","정신",삼척시,179,179,179,180,185,184,181,183,186,181,182
"장애유형별","정신",홍천군,162,161,168,165,161,160,168,166,166,167,159
"장애유형별","정신",횡성군,103,102,102,102,101,103,100,101,104,104,109
"장애유형별","정신",영월군,81,76,78,82,84,81,82,89,84,82,87
"장애유형별","정신",평창군,64,69,69,66,65,67,68,70,71,71,66
"장애유형별","정신",정선군,67,71,71,72,73,72,74,73,74,76,75
"장애유형별","정신",철원군,83,80,78,72,72,73,71,65,62,57,57
"장애유형별","정신",화천군,49,53,54,63,63,58,61,62,60,61,58
"장애유형별","정신",양구군,40,42,40,42,39,41,41,46,44,48,49
"장애유형별","정신",인제군,49,49,48,53,54,57,58,54,54,57,58
"장애유형별","정신",고성군,59,59,56,57,57,58,60,63,62,64,65
"장애유형별","정신",양양군,73,72,74,75,73,75,75,70,74,74,74
"장애유형별","신장",춘천시,666,679,613,593,554,538,508,476,428,418,387
"장애유형별","신장",원주시,713,686,685,644,595,545,527,503,473,466,445
"장애유형별","신장",강릉시,501,487,484,445,417,386,375,349,350,345,320
"장애유형별","신장",동해시,193,181,168,156,148,137,130,118,114,116,118
"장애유형별","신장",태백시,109,104,108,99,91,85,84,79,73,71,64
"장애유형별","신장",속초시,186,205,178,174,157,162,153,150,139,140,129
"장애유형별","신장",삼척시,169,162,140,135,135,120,113,108,98,94,91
"장애유형별","신장",홍천군,176,164,162,157,143,137,123,120,114,101,90
"장애유형별","신장",횡성군,98,96,104,93,82,72,63,59,60,57,70
"장애유형별","신장",영월군,98,85,84,79,78,78,71,69,67,57,55
"장애유형별","신장",평창군,75,70,70,68,62,56,55,52,49,46,40
"장애유형별","신장",정선군,69,71,73,79,70,65,65,64,62,52,51
"장애유형별","신장",철원군,96,91,85,75,72,70,76,78,78,75,71
"장애유형별","신장",화천군,35,37,37,32,31,32,28,27,24,24,26
"장애유형별","신장",양구군,48,46,46,44,33,40,41,39,40,36,40
"장애유형별","신장",인제군,65,72,64,60,52,47,46,47,43,44,42
"장애유형별","신장",고성군,87,88,81,72,70,74,76,75,67,68,58
"장애유형별","신장",양양군,63,60,58,54,50,48,43,43,43,42,41
"장애유형별","심장",춘천시,24,24,20,22,21,23,23,25,24,31,45
"장애유형별","심장",원주시,23,25,21,23,22,22,25,27,19,22,28
"장애유형별","심장",강릉시,26,23,23,25,28,27,29,24,29,39,49
"장애유형별","심장",동해시,7,8,9,7,9,8,8,10,10,11,15
"장애유형별","심장",태백시,1,1,1,1,3,3,5,6,6,7,7
"장애유형별","심장",속초시,7,6,5,4,4,5,5,4,3,8,12
"장애유형별","심장",삼척시,6,5,5,5,6,5,4,5,9,14,14
"장애유형별","심장",홍천군,3,3,4,7,7,6,5,6,8,7,6
"장애유형별","심장",횡성군,9,9,9,9,9,8,12,11,11,11,12
"장애유형별","심장",영월군,3,4,6,4,2,3,3,2,3,3,8
"장애유형별","심장",평창군,2,2,1,2,1,2,2,1,1,1,1
"장애유형별","심장",정선군,3,3,3,4,4,3,4,5,6,7,8
"장애유형별","심장",철원군,5,5,4,4,2,2,1,2,1,1,1
"장애유형별","심장",화천군,1,1,1,2,3,4,4,3,2,3,4
"장애유형별","심장",양구군,2,2,2,2,2,1,1,1,1,4,4
"장애유형별","심장",인제군,1,1,2,3,3,3,3,3,3,3,6
"장애유형별","심장",고성군,2,2,2,2,1,2,2,2,3,1,3
"장애유형별","심장",양양군,2,3,3,4,4,4,3,3,3,6,6
"장애유형별","호흡기",춘천시,70,79,87,92,90,88,83,89,92,97,97
"장애유형별","호흡기",원주시,67,66,62,63,64,64,66,75,75,77,82
"장애유형별","호흡기",강릉시,74,89,88,92,89,88,94,91,100,107,101
"장애유형별","호흡기",동해시,33,33,34,32,35,35,39,40,46,46,51
"장애유형별","호흡기",태백시,40,42,45,48,50,50,58,59,68,74,76
"장애유형별","호흡기",속초시,17,17,18,20,19,21,22,30,27,29,31
"장애유형별","호흡기",삼척시,19,21,27,25,27,30,32,32,34,37,35
"장애유형별","호흡기",홍천군,20,22,23,23,25,25,21,24,23,22,25
"장애유형별","호흡기",횡성군,12,14,14,13,16,18,19,21,18,20,22
"장애유형별","호흡기",영월군,22,22,22,24,26,25,27,29,30,34,37
"장애유형별","호흡기",평창군,7,9,10,13,12,14,15,16,16,17,15
"장애유형별","호흡기",정선군,27,24,29,31,35,42,47,50,50,56,61
"장애유형별","호흡기",철원군,7,8,7,9,8,9,9,10,12,13,16
"장애유형별","호흡기",화천군,6,4,5,6,7,6,8,10,8,8,8
"장애유형별","호흡기",양구군,7,10,10,12,12,14,10,9,11,12,9
"장애유형별","호흡기",인제군,8,7,9,10,8,8,9,11,11,12,12
"장애유형별","호흡기",고성군,11,13,15,15,13,14,15,15,17,20,21
"장애유형별","호흡기",양양군,5,6,8,9,8,9,9,7,8,9,9
"장애유형별","간",춘천시,80,76,68,67,69,62,57,48,44,45,46
"장애유형별","간",원주시,118,109,98,88,68,69,62,60,55,51,47
"장애유형별","간",강릉시,78,83,76,71,69,66,69,64,65,57,55
"장애유형별","간",동해시,25,24,22,21,18,16,16,14,14,14,16
"장애유형별","간",태백시,16,14,13,12,10,10,11,12,11,10,12
"장애유형별","간",속초시,34,33,30,29,29,28,29,24,24,22,19
"장애유형별","간",삼척시,19,21,21,23,21,19,15,16,14,11,9
"장애유형별","간",홍천군,34,27,27,29,24,24,20,17,14,11,11
"장애유형별","간",횡성군,26,23,23,24,20,15,12,11,11,9,8
"장애유형별","간",영월군,13,13,12,10,11,14,12,9,10,8,7
"장애유형별","간",평창군,20,20,18,14,13,14,13,12,11,11,9
"장애유형별","간",정선군,16,17,18,18,17,16,13,9,7,6,7
"장애유형별","간",철원군,16,14,12,11,11,12,10,11,10,11,13
"장애유형별","간",화천군,6,7,6,8,6,8,7,6,4,4,5
"장애유형별","간",양구군,10,6,5,5,5,2,2,2,2,2,3
"장애유형별","간",인제군,13,15,17,14,12,11,9,9,10,9,9
"장애유형별","간",고성군,17,18,14,13,15,17,16,16,15,16,13
"장애유형별","간",양양군,18,19,20,18,12,10,10,8,9,12,12
"장애유형별","안면",춘천시,18,19,18,17,18,18,16,16,16,18,18
"장애유형별","안면",원주시,23,24,23,20,21,22,19,18,17,14,15
"장애유형별","안면",강릉시,11,12,11,12,12,12,9,9,9,9,9
"장애유형별","안면",동해시,7,7,7,7,6,6,6,6,6,7,6
"장애유형별","안면",태백시,3,3,3,3,3,3,3,3,3,3,3
"장애유형별","안면",속초시,5,5,6,4,4,4,5,5,5,4,4
"장애유형별","안면",삼척시,5,5,4,2,2,2,2,2,2,3,3
"장애유형별","안면",홍천군,5,5,5,5,5,4,3,3,3,3,4
"장애유형별","안면",횡성군,4,4,4,5,5,5,5,5,5,5,5
"장애유형별","안면",영월군,2,2,2,2,2,2,2,2,3,3,3
"장애유형별","안면",평창군,3,3,3,3,3,3,3,3,2,2,2
"장애유형별","안면",정선군,4,4,3,4,5,3,4,4,4,4,4
"장애유형별","안면",철원군,3,2,2,2,2,3,2,2,1,1,1
"장애유형별","안면",화천군,3,3,3,3,3,2,2,2,2,3,3
"장애유형별","안면",양구군,1,1,1,1,1,1,1,1,1,1,1
"장애유형별","안면",인제군,3,3,2,2,2,3,2,2,2,2,1
"장애유형별","안면",고성군,2,2,2,3,3,3,3,4,3,2,2
"장애유형별","안면",양양군,2,2,2,2,2,2,2,2,2,2,2
"장애유형별","장루,요루",춘천시,115,115,110,105,104,110,108,102,102,102,99
"장애유형별","장루,요루",원주시,110,117,108,100,99,97,88,87,93,95,88
"장애유형별","장루,요루",강릉시,90,90,85,84,80,79,77,73,72,73,69
"장애유형별","장루,요루",동해시,51,50,42,37,34,30,27,24,23,27,22
"장애유형별","장루,요루",태백시,23,18,19,22,23,21,23,20,21,19,14
"장애유형별","장루,요루",속초시,38,37,39,38,45,36,38,35,36,34,36
"장애유형별","장루,요루",삼척시,34,28,29,32,29,28,28,28,26,25,26
"장애유형별","장루,요루",홍천군,50,45,47,49,47,48,49,45,43,41,40
"장애유형별","장루,요루",횡성군,34,32,34,37,33,30,32,35,34,32,28
"장애유형별","장루,요루",영월군,23,25,22,27,27,25,26,23,21,23,21
"장애유형별","장루,요루",평창군,26,28,23,24,22,22,18,17,17,21,21
"장애유형별","장루,요루",정선군,11,8,11,14,13,13,16,17,13,11,9
"장애유형별","장루,요루",철원군,22,19,18,21,16,17,14,14,15,17,20
"장애유형별","장루,요루",화천군,13,13,14,13,12,10,9,8,8,10,13
"장애유형별","장루,요루",양구군,12,14,13,11,11,8,8,9,11,10,10
"장애유형별","장루,요루",인제군,16,18,15,16,17,17,22,22,20,21,18
"장애유형별","장루,요루",고성군,14,15,14,12,12,15,17,14,11,10,13
"장애유형별","장루,요루",양양군,24,22,26,28,31,33,28,21,18,16,17
"장애유형별","뇌전증",춘천시,35,39,40,42,37,41,41,43,43,38,48
"장애유형별","뇌전증",원주시,53,52,53,55,54,57,53,56,58,60,62
"장애유형별","뇌전증",강릉시,29,31,27,29,29,32,32,31,30,31,37
"장애유형별","뇌전증",동해시,13,10,10,11,12,10,9,11,12,12,10
"장애유형별","뇌전증",태백시,7,8,9,11,11,10,9,9,5,6,7
"장애유형별","뇌전증",속초시,15,14,13,12,11,11,12,13,14,15,13
"장애유형별","뇌전증",삼척시,14,14,14,16,18,18,18,17,16,13,13
"장애유형별","뇌전증",홍천군,15,17,16,17,18,17,18,21,22,20,17
"장애유형별","뇌전증",횡성군,5,8,6,4,6,7,7,8,10,8,9
"장애유형별","뇌전증",영월군,5,5,4,5,4,8,8,11,9,8,7
"장애유형별","뇌전증",평창군,2,2,1,1,1,1,2,3,3,5,5
"장애유형별","뇌전증",정선군,5,5,5,4,4,4,2,2,2,4,7
"장애유형별","뇌전증",철원군,4,3,3,3,4,4,5,6,8,9,8
"장애유형별","뇌전증",화천군,2,2,2,3,3,3,3,4,3,3,3
"장애유형별","뇌전증",양구군,3,3,4,5,4,4,4,5,5,6,7
"장애유형별","뇌전증",인제군,4,3,3,3,3,4,4,6,6,5,5
"장애유형별","뇌전증",고성군,4,4,4,4,4,5,5,5,6,6,7
"장애유형별","뇌전증",양양군,7,8,8,9,8,6,6,6,6,6,6
