"장애인등록현황별(1)","장애인등록현황별(2)",시군별(1),시군별(2),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형","자폐성장애",남부,여주시,87,77,67,62,63,56,52,47,39,37,33
"장애유형","자폐성장애",남부,양평군,119,106,90,74,67,56,52,56,42,36,37
"장애유형","자폐성장애",북부,의정부시,392,345,305,271,253,235,218,204,180,169,153
"장애유형","자폐성장애",북부,동두천시,60,51,46,46,38,38,35,34,32,28,30
"장애유형","자폐성장애",북부,고양시,1233,1121,1024,972,918,872,803,780,737,680,646
"장애유형","자폐성장애",북부,구리시,160,146,122,121,112,109,100,98,87,81,74
"장애유형","자폐성장애",북부,남양주시,567,515,467,410,373,340,300,279,253,227,210
"장애유형","자폐성장애",북부,파주시,544,492,439,389,362,319,287,254,232,195,180
"장애유형","자폐성장애",북부,양주시,228,181,160,140,124,114,98,88,78,59,56
"장애유형","자폐성장애",북부,포천시,68,67,62,56,53,52,52,44,40,38,33
"장애유형","자폐성장애",북부,연천군,24,22,21,20,20,18,17,15,14,14,7
"장애유형","자폐성장애",북부,가평군,37,37,31,30,31,28,26,28,28,25,19
"장애유형","정신장애",남부,수원시,1612,1587,1562,1531,1501,1476,1433,1379,1328,1270,1218
"장애유형","정신장애",남부,성남시,1374,1409,1410,1409,1406,1388,1382,1372,1336,1319,1296
"장애유형","정신장애",남부,안양시,732,727,707,703,718,717,701,696,705,688,694
"장애유형","정신장애",남부,부천시,1398,1440,1449,1427,1383,1366,1322,1300,1263,1195,1177
"장애유형","정신장애",남부,광명시,468,479,491,492,502,521,515,512,506,489,483
"장애유형","정신장애",남부,평택시,764,764,750,743,729,731,691,677,677,657,629
"장애유형","정신장애",남부,안산시,991,1010,1011,984,957,946,907,908,918,895,889
"장애유형","정신장애",남부,과천시,75,75,69,66,67,65,65,71,76,67,65
"장애유형","정신장애",남부,오산시,439,450,460,457,446,441,423,421,416,407,406
"장애유형","정신장애",남부,시흥시,614,600,570,546,526,509,489,469,462,440,414
"장애유형","정신장애",남부,군포시,411,416,408,393,398,388,363,370,355,347,344
"장애유형","정신장애",남부,의왕시,236,232,229,235,226,215,220,208,207,211,214
"장애유형","정신장애",남부,하남시,339,346,341,322,308,297,283,267,235,213,207
"장애유형","정신장애",남부,용인시,1509,1515,1522,1523,1522,1499,1437,1425,1387,1390,1334
"장애유형","정신장애",남부,이천시,331,336,327,326,315,316,313,304,289,278,277
"장애유형","정신장애",남부,안성시,366,349,339,330,322,310,300,293,273,272,276
"장애유형","정신장애",남부,김포시,562,565,534,511,508,483,460,444,426,420,384
"장애유형","정신장애",남부,화성시,992,981,957,930,896,868,848,844,775,745,765
"장애유형","정신장애",남부,광주시,380,376,369,349,343,327,295,285,276,262,263
"장애유형","정신장애",남부,여주시,244,250,246,243,238,231,226,219,216,203,205
"장애유형","정신장애",남부,양평군,243,253,242,239,238,226,223,214,210,203,206
"장애유형","정신장애",북부,의정부시,831,827,811,781,761,743,731,726,718,689,660
"장애유형","정신장애",북부,동두천시,339,345,343,335,335,344,337,331,329,327,333
"장애유형","정신장애",북부,고양시,1599,1574,1534,1507,1490,1441,1393,1376,1331,1242,1236
"장애유형","정신장애",북부,구리시,244,243,244,243,237,242,245,230,226,226,215
"장애유형","정신장애",북부,남양주시,905,909,892,877,876,857,855,829,817,800,763
"장애유형","정신장애",북부,파주시,672,663,642,624,608,599,587,581,551,544,526
"장애유형","정신장애",북부,양주시,583,554,557,565,564,572,564,560,560,541,507
"장애유형","정신장애",북부,포천시,303,311,313,307,305,308,301,301,305,307,309
"장애유형","정신장애",북부,연천군,113,116,108,108,101,111,108,107,111,102,101
"장애유형","정신장애",북부,가평군,444,444,449,457,477,479,479,496,504,509,500
"장애유형","신장장애",남부,수원시,2149,2098,2001,1927,1826,1753,1678,1588,1441,1371,1261
"장애유형","신장장애",남부,성남시,1753,1691,1666,1642,1616,1548,1508,1424,1342,1282,1243
"장애유형","신장장애",남부,안양시,1107,1107,1064,1029,1031,1004,970,932,875,818,754
"장애유형","신장장애",남부,부천시,1725,1744,1755,1680,1609,1560,1525,1413,1331,1261,1195
"장애유형","신장장애",남부,광명시,566,570,553,540,540,534,516,509,482,468,432
"장애유형","신장장애",남부,평택시,977,995,923,855,819,758,701,653,637,584,553
"장애유형","신장장애",남부,안산시,1348,1318,1286,1239,1199,1105,1068,996,918,857,819
"장애유형","신장장애",남부,과천시,92,93,94,82,78,81,85,90,89,88,82
"장애유형","신장장애",남부,오산시,394,377,342,325,313,272,247,237,236,216,204
"장애유형","신장장애",남부,시흥시,965,934,864,787,719,658,587,516,458,430,422
"장애유형","신장장애",남부,군포시,569,561,542,538,512,498,454,411,408,370,367
"장애유형","신장장애",남부,의왕시,310,306,305,284,274,252,235,233,214,206,205
"장애유형","신장장애",남부,하남시,579,575,549,510,430,395,329,298,249,205,187
"장애유형","신장장애",남부,용인시,1814,1771,1707,1590,1540,1431,1318,1260,1176,1118,1040
"장애유형","신장장애",남부,이천시,456,457,439,411,366,339,319,305,286,274,244
"장애유형","신장장애",남부,안성시,396,384,372,350,310,295,280,268,256,234,237
"장애유형","신장장애",남부,김포시,876,883,853,805,719,643,583,509,465,439,393
"장애유형","신장장애",남부,화성시,1268,1232,1145,1069,972,891,766,677,621,565,530
"장애유형","신장장애",남부,광주시,784,781,732,670,610,574,541,504,472,421,387
"장애유형","신장장애",남부,여주시,270,262,248,245,228,208,196,191,173,161,152
"장애유형","신장장애",남부,양평군,316,295,284,277,261,246,227,207,191,184,180
"장애유형","신장장애",북부,의정부시,1031,1030,1000,963,895,858,819,751,714,691,677
"장애유형","신장장애",북부,동두천시,263,257,246,230,218,228,222,220,210,202,173
"장애유형","신장장애",북부,고양시,2050,2093,2007,1871,1748,1669,1554,1432,1355,1242,1142
"장애유형","신장장애",북부,구리시,438,426,414,386,375,365,344,303,271,252,241
"장애유형","신장장애",북부,남양주시,1570,1514,1474,1364,1295,1191,1104,1028,977,884,812
"장애유형","신장장애",북부,파주시,961,907,862,803,759,714,653,638,598,536,495
"장애유형","신장장애",북부,양주시,591,562,529,500,460,450,423,374,348,334,301
"장애유형","신장장애",북부,포천시,388,394,387,357,346,332,335,303,291,264,252
"장애유형","신장장애",북부,연천군,104,100,99,102,105,88,87,81,82,69,72
"장애유형","신장장애",북부,가평군,164,168,162,156,138,130,133,127,119,112,109
"장애유형","심장장애",남부,수원시,78,73,71,78,78,81,81,77,84,87,82
"장애유형","심장장애",남부,성남시,105,117,122,129,132,134,143,151,163,170,177
"장애유형","심장장애",남부,안양시,40,40,44,47,45,47,53,56,59,69,72
"장애유형","심장장애",남부,부천시,55,56,59,57,66,69,70,69,63,69,65
"장애유형","심장장애",남부,광명시,25,27,30,32,34,33,38,37,41,56,60
"장애유형","심장장애",남부,평택시,61,64,67,64,63,56,58,61,60,70,73
"장애유형","심장장애",남부,안산시,59,68,68,67,71,67,66,66,70,82,83
"장애유형","심장장애",남부,과천시,6,6,6,5,6,5,5,9,10,9,9
"장애유형","심장장애",남부,오산시,22,21,21,22,20,21,23,23,27,25,26
"장애유형","심장장애",남부,시흥시,41,41,40,39,39,38,35,31,33,39,45
"장애유형","심장장애",남부,군포시,26,25,27,30,31,31,35,34,37,39,40
"장애유형","심장장애",남부,의왕시,16,13,14,13,16,14,13,14,20,20,19
"장애유형","심장장애",남부,하남시,27,26,29,27,27,25,24,22,15,12,14
"장애유형","심장장애",남부,용인시,97,100,104,109,107,108,106,103,116,126,154
"장애유형","심장장애",남부,이천시,14,11,11,11,13,13,13,15,15,19,23
"장애유형","심장장애",남부,안성시,14,15,15,16,12,10,13,15,20,26,26
"장애유형","심장장애",남부,김포시,44,47,42,41,39,45,41,42,38,40,36
"장애유형","심장장애",남부,화성시,61,69,68,69,57,52,47,47,46,49,46
"장애유형","심장장애",남부,광주시,45,46,40,37,40,42,36,32,33,35,37
"장애유형","심장장애",남부,여주시,9,11,13,10,9,8,10,9,9,15,21
"장애유형","심장장애",남부,양평군,11,13,14,13,11,12,13,15,16,17,21
"장애유형","심장장애",북부,의정부시,42,44,46,54,55,58,54,55,53,54,48
"장애유형","심장장애",북부,동두천시,17,16,17,18,18,17,19,17,22,21,23
"장애유형","심장장애",북부,고양시,98,107,104,104,104,96,90,87,87,93,95
"장애유형","심장장애",북부,구리시,25,24,30,29,26,29,31,31,25,24,32
"장애유형","심장장애",북부,남양주시,69,77,78,77,72,76,69,75,81,86,99
"장애유형","심장장애",북부,파주시,53,60,58,58,60,56,52,48,48,57,63
"장애유형","심장장애",북부,양주시,34,31,34,32,30,35,30,31,34,38,42
"장애유형","심장장애",북부,포천시,10,10,10,11,10,12,11,7,10,14,15
"장애유형","심장장애",북부,연천군,4,3,3,4,3,3,4,4,5,6,3
"장애유형","심장장애",북부,가평군,8,9,10,9,9,9,9,10,12,12,12
"장애유형","호흡기장애",남부,수원시,156,157,160,152,149,155,154,159,158,163,164
"장애유형","호흡기장애",남부,성남시,189,199,202,203,209,225,219,208,195,210,236
"장애유형","호흡기장애",남부,안양시,77,86,86,87,95,100,103,109,114,116,124
"장애유형","호흡기장애",남부,부천시,131,149,165,155,156,160,150,157,155,160,172
"장애유형","호흡기장애",남부,광명시,61,69,77,79,82,93,88,89,84,89,88
"장애유형","호흡기장애",남부,평택시,104,112,98,100,85,88,87,88,99,100,105
"장애유형","호흡기장애",남부,안산시,99,106,108,107,112,115,121,125,128,141,154
"장애유형","호흡기장애",남부,과천시,8,9,10,6,7,8,6,6,7,9,7
"장애유형","호흡기장애",남부,오산시,39,41,43,43,41,36,34,33,37,37,31
"장애유형","호흡기장애",남부,시흥시,78,83,78,74,78,76,75,75,75,75,84
"장애유형","호흡기장애",남부,군포시,69,72,66,67,77,86,83,79,78,72,75
"장애유형","호흡기장애",남부,의왕시,30,27,26,27,20,19,21,22,26,31,32
"장애유형","호흡기장애",남부,하남시,59,62,63,61,57,56,46,39,38,36,39
"장애유형","호흡기장애",남부,용인시,137,160,168,153,146,158,162,163,164,167,185
"장애유형","호흡기장애",남부,이천시,48,45,47,47,41,44,47,45,46,44,51
"장애유형","호흡기장애",남부,안성시,35,39,38,32,33,35,30,31,35,36,37
"장애유형","호흡기장애",남부,김포시,63,83,84,81,74,83,70,63,63,60,61
"장애유형","호흡기장애",남부,화성시,100,104,105,102,97,93,84,76,77,69,73
"장애유형","호흡기장애",남부,광주시,96,102,93,98,89,97,84,79,77,72,68
"장애유형","호흡기장애",남부,여주시,31,27,24,22,21,28,24,25,28,29,32
"장애유형","호흡기장애",남부,양평군,36,32,32,36,38,45,44,42,40,34,42
"장애유형","호흡기장애",북부,의정부시,89,93,103,99,92,93,79,81,79,76,78
"장애유형","호흡기장애",북부,동두천시,37,38,34,33,32,30,28,25,25,22,23
"장애유형","호흡기장애",북부,고양시,216,235,236,227,220,206,225,206,212,215,218
"장애유형","호흡기장애",북부,구리시,37,35,41,45,43,44,43,42,47,43,44
"장애유형","호흡기장애",북부,남양주시,154,170,157,152,134,131,140,126,132,133,136
"장애유형","호흡기장애",북부,파주시,102,103,99,101,99,102,103,105,108,106,112
"장애유형","호흡기장애",북부,양주시,51,51,48,48,48,48,42,47,43,45,49
"장애유형","호흡기장애",북부,포천시,27,32,26,24,32,32,31,36,30,35,34
"장애유형","호흡기장애",북부,연천군,7,7,6,6,6,8,7,4,7,9,10
"장애유형","호흡기장애",북부,가평군,16,18,17,15,13,12,17,18,16,20,20
"장애유형","간장애",남부,수원시,307,272,260,250,240,243,243,241,222,210,193
"장애유형","간장애",남부,성남시,262,260,242,232,211,204,193,187,187,177,174
"장애유형","간장애",남부,안양시,138,130,131,129,129,117,120,119,114,102,98
"장애유형","간장애",남부,부천시,235,236,233,226,223,220,208,188,166,157,145
"장애유형","간장애",남부,광명시,93,92,92,81,88,79,74,68,63,60,68
"장애유형","간장애",남부,평택시,154,151,138,125,122,122,119,105,95,88,92
"장애유형","간장애",남부,안산시,150,154,150,146,140,135,129,109,113,116,115
"장애유형","간장애",남부,과천시,17,14,10,7,7,8,9,9,9,8,10
"장애유형","간장애",남부,오산시,72,69,61,59,56,50,47,40,35,36,29
"장애유형","간장애",남부,시흥시,162,149,131,125,108,94,87,78,67,60,52
"장애유형","간장애",남부,군포시,66,62,60,58,50,53,46,45,45,42,45
"장애유형","간장애",남부,의왕시,62,59,58,57,54,52,47,50,44,39,41
"장애유형","간장애",남부,하남시,100,93,83,78,71,66,63,48,38,33,31
"장애유형","간장애",남부,용인시,324,318,310,290,291,271,256,243,228,202,197
"장애유형","간장애",남부,이천시,80,73,70,69,64,56,55,53,49,43,39
"장애유형","간장애",남부,안성시,73,61,61,55,55,55,55,54,53,51,46
"장애유형","간장애",남부,김포시,121,117,112,108,105,98,88,74,67,63,58
"장애유형","간장애",남부,화성시,221,196,183,182,152,143,128,111,95,85,85
"장애유형","간장애",남부,광주시,130,125,115,109,98,100,91,84,72,70,62
"장애유형","간장애",남부,여주시,56,52,53,53,49,48,43,39,40,39,33
"장애유형","간장애",남부,양평군,66,63,64,65,49,44,45,42,36,28,27
"장애유형","간장애",북부,의정부시,122,121,112,102,101,91,89,81,75,77,73
"장애유형","간장애",북부,동두천시,30,29,23,22,25,25,24,24,19,17,15
"장애유형","간장애",북부,고양시,359,361,363,344,322,300,281,285,288,278,256
"장애유형","간장애",북부,구리시,45,44,42,39,36,37,40,31,28,27,26
"장애유형","간장애",북부,남양주시,230,216,209,184,173,164,146,143,130,118,116
"장애유형","간장애",북부,파주시,147,141,126,119,114,104,102,100,89,83,81
"장애유형","간장애",북부,양주시,92,75,74,65,60,60,54,52,48,43,43
"장애유형","간장애",북부,포천시,69,72,69,68,67,62,56,48,44,43,40
"장애유형","간장애",북부,연천군,18,20,20,19,17,17,15,16,14,14,9
"장애유형","간장애",북부,가평군,38,38,37,38,34,35,33,29,28,21,20
"장애유형","안면장애",남부,수원시,42,43,46,46,48,50,51,52,49,51,50
"장애유형","안면장애",남부,성남시,37,37,39,43,39,41,41,41,37,34,34
"장애유형","안면장애",남부,안양시,22,22,21,22,26,24,24,25,23,21,26
"장애유형","안면장애",남부,부천시,55,51,52,53,52,52,48,50,47,49,50
"장애유형","안면장애",남부,광명시,11,11,10,9,12,13,13,14,14,17,16
"장애유형","안면장애",남부,평택시,29,28,26,29,24,23,24,24,20,18,20
"장애유형","안면장애",남부,안산시,32,31,27,32,31,30,33,29,33,31,31
"장애유형","안면장애",남부,과천시,3,3,3,3,2,2,2,2,3,3,3
"장애유형","안면장애",남부,오산시,15,15,15,14,14,16,16,15,14,12,10
"장애유형","안면장애",남부,시흥시,24,25,23,25,25,28,27,26,24,26,29
"장애유형","안면장애",남부,군포시,13,11,13,12,11,12,12,11,11,11,12
"장애유형","안면장애",남부,의왕시,3,4,5,4,3,3,4,3,3,3,2
"장애유형","안면장애",남부,하남시,9,11,12,10,8,7,7,6,5,5,5
"장애유형","안면장애",남부,용인시,37,37,32,30,29,30,30,29,32,30,29
"장애유형","안면장애",남부,이천시,14,13,14,13,14,14,14,13,13,11,12
"장애유형","안면장애",남부,안성시,13,11,12,11,12,11,11,15,15,13,12
"장애유형","안면장애",남부,김포시,27,27,28,22,23,23,23,23,21,21,19
"장애유형","안면장애",남부,화성시,38,37,38,34,37,37,30,25,27,25,25
"장애유형","안면장애",남부,광주시,17,17,18,18,18,18,13,12,12,12,13
"장애유형","안면장애",남부,여주시,10,11,11,12,13,13,15,14,14,15,15
"장애유형","안면장애",남부,양평군,12,10,10,11,10,11,12,11,11,11,8
"장애유형","안면장애",북부,의정부시,26,25,25,26,23,26,25,23,22,22,22
"장애유형","안면장애",북부,동두천시,8,9,8,6,6,5,5,5,5,5,5
"장애유형","안면장애",북부,고양시,47,45,44,47,44,44,46,46,44,48,46
"장애유형","안면장애",북부,구리시,6,8,6,6,6,7,6,5,4,4,6
"장애유형","안면장애",북부,남양주시,33,31,32,29,26,24,27,25,25,23,21
"장애유형","안면장애",북부,파주시,24,23,25,23,23,25,22,20,20,22,20
"장애유형","안면장애",북부,양주시,25,19,19,18,17,18,16,15,15,15,17
"장애유형","안면장애",북부,포천시,6,8,9,11,10,9,8,8,8,8,8
"장애유형","안면장애",북부,연천군,5,5,5,5,5,5,5,7,7,7,7
"장애유형","안면장애",북부,가평군,6,5,5,5,5,5,5,4,3,3,3
"장애유형","장루, 요루장애",남부,수원시,315,313,297,280,277,266,266,256,258,232,222
"장애유형","장루, 요루장애",남부,성남시,255,264,247,235,243,236,242,230,215,220,209
"장애유형","장루, 요루장애",남부,안양시,141,146,137,128,135,134,134,134,126,122,130
"장애유형","장루, 요루장애",남부,부천시,224,227,220,213,208,201,198,194,184,170,173
"장애유형","장루, 요루장애",남부,광명시,84,79,75,73,76,85,87,82,85,81,82
"장애유형","장루, 요루장애",남부,평택시,151,153,149,144,130,126,115,117,118,119,116
"장애유형","장루, 요루장애",남부,안산시,171,171,169,145,141,135,136,141,149,149,145
"장애유형","장루, 요루장애",남부,과천시,22,20,17,19,19,17,19,20,25,20,20
"장애유형","장루, 요루장애",남부,오산시,60,54,58,57,51,47,48,44,45,45,43
"장애유형","장루, 요루장애",남부,시흥시,126,121,114,109,106,102,92,86,89,87,85
"장애유형","장루, 요루장애",남부,군포시,73,78,77,73,75,73,73,71,67,61,58
"장애유형","장루, 요루장애",남부,의왕시,50,54,58,52,55,52,55,56,55,47,44
"장애유형","장루, 요루장애",남부,하남시,95,90,83,63,66,65,56,52,47,46,44
"장애유형","장루, 요루장애",남부,용인시,300,289,275,270,276,265,262,257,250,244,221
"장애유형","장루, 요루장애",남부,이천시,59,56,56,59,54,50,54,52,46,47,48
"장애유형","장루, 요루장애",남부,안성시,57,60,59,63,62,64,54,51,49,44,40
"장애유형","장루, 요루장애",남부,김포시,144,145,143,123,113,112,94,91,88,78,70
"장애유형","장루, 요루장애",남부,화성시,216,199,178,163,158,153,139,122,109,106,95
"장애유형","장루, 요루장애",남부,광주시,143,133,128,124,109,100,93,89,78,73,67
"장애유형","장루, 요루장애",남부,여주시,43,48,49,45,42,38,43,39,39,43,39
"장애유형","장루, 요루장애",남부,양평군,69,63,60,57,59,54,55,49,49,42,52
"장애유형","장루, 요루장애",북부,의정부시,140,134,124,128,128,128,132,125,116,120,120
"장애유형","장루, 요루장애",북부,동두천시,43,45,42,40,35,35,35,35,37,34,33
"장애유형","장루, 요루장애",북부,고양시,322,312,294,296,285,284,271,260,226,223,222
"장애유형","장루, 요루장애",북부,구리시,60,53,44,46,49,48,45,47,46,44,42
"장애유형","장루, 요루장애",북부,남양주시,250,247,226,197,199,199,202,202,196,180,174
"장애유형","장루, 요루장애",북부,파주시,171,170,166,146,143,135,130,123,127,123,119
"장애유형","장루, 요루장애",북부,양주시,110,98,88,81,77,74,70,62,60,56,61
"장애유형","장루, 요루장애",북부,포천시,71,72,68,63,67,68,62,58,58,57,55
"장애유형","장루, 요루장애",북부,연천군,16,15,14,18,15,11,13,16,15,12,12
"장애유형","장루, 요루장애",북부,가평군,37,31,27,28,27,32,31,30,26,23,22
"장애유형","뇌전증장애",남부,수원시,124,116,110,111,119,120,118,114,124,126,122
"장애유형","뇌전증장애",남부,성남시,79,76,82,87,92,90,91,89,99,99,106
"장애유형","뇌전증장애",남부,안양시,57,62,57,60,59,62,61,60,68,64,73
"장애유형","뇌전증장애",남부,부천시,88,96,101,104,102,104,107,108,104,108,104
"장애유형","뇌전증장애",남부,광명시,36,43,45,44,49,59,57,59,58,55,56
"장애유형","뇌전증장애",남부,평택시,49,49,49,52,47,43,40,43,52,46,41
"장애유형","뇌전증장애",남부,안산시,84,88,88,85,89,91,91,83,89,95,97
"장애유형","뇌전증장애",남부,과천시,5,4,5,5,4,4,3,2,3,4,3
"장애유형","뇌전증장애",남부,오산시,24,23,24,24,29,32,32,31,32,28,34
"장애유형","뇌전증장애",남부,시흥시,48,45,45,44,37,31,34,34,33,33,37
"장애유형","뇌전증장애",남부,군포시,19,22,23,24,21,23,23,21,20,17,15
"장애유형","뇌전증장애",남부,의왕시,26,25,26,24,22,22,23,19,19,18,19
"장애유형","뇌전증장애",남부,하남시,23,24,29,24,20,19,21,22,15,12,16
"장애유형","뇌전증장애",남부,용인시,76,68,69,68,73,71,65,63,62,56,55
"장애유형","뇌전증장애",남부,이천시,28,27,26,28,32,31,30,33,35,30,30
"장애유형","뇌전증장애",남부,안성시,19,22,22,23,21,22,22,23,26,28,29
"장애유형","뇌전증장애",남부,김포시,55,54,53,53,55,52,46,43,43,39,39
"장애유형","뇌전증장애",남부,화성시,70,65,59,63,64,60,58,56,57,56,51
"장애유형","뇌전증장애",남부,광주시,33,34,34,33,30,30,31,26,25,25,26
"장애유형","뇌전증장애",남부,여주시,14,14,15,17,17,18,19,18,18,16,18
"장애유형","뇌전증장애",남부,양평군,16,18,19,21,21,24,24,21,21,23,27
"장애유형","뇌전증장애",북부,의정부시,58,59,55,55,48,47,49,45,43,40,47
"장애유형","뇌전증장애",북부,동두천시,19,20,18,19,19,21,20,22,22,21,23
"장애유형","뇌전증장애",북부,고양시,95,90,95,89,86,82,96,89,92,93,95
"장애유형","뇌전증장애",북부,구리시,27,25,25,25,25,22,23,19,18,25,28
"장애유형","뇌전증장애",북부,남양주시,101,99,98,87,87,84,82,79,80,77,80
"장애유형","뇌전증장애",북부,파주시,74,74,67,73,70,62,55,59,65,61,58
"장애유형","뇌전증장애",북부,양주시,37,35,33,34,39,38,32,29,36,39,36
"장애유형","뇌전증장애",북부,포천시,26,25,22,21,21,20,20,20,19,19,24
"장애유형","뇌전증장애",북부,연천군,6,7,7,6,7,7,6,6,6,9,10
"장애유형","뇌전증장애",북부,가평군,11,12,13,13,15,19,20,20,17,18,17
